tipo_doc,num_doc,monto_6_meses,ingresos_mensuales,canales_usados,tipo_persona,monto_total
CEDULA DE CIUDADANIA,8071761110428740000,86700000,346650,"CAJERO, SUCURSAL",PERSONA NATURAL,86700000
NIT,6615216942667870000,1600000000,5749673,SUCURSAL,PERSONA JURIDICA,1900000000
CEDULA DE CIUDADANIA,6663490652209230000,166699200,6219590,"SUCURSAL, CAJERO",PERSONA NATURAL,167999200
CEDULA DE CIUDADANIA,3445363745424500000,149210000,5763829,"SUCURSAL, CAJERO",PERSONA NATURAL,195754120
CEDULA DE CIUDADANIA,6052003494965810000,93100000,3008869,"SUCURSAL, CAJERO",PERSONA NATURAL,229300000
CEDULA DE CIUDADANIA,4230812475040140000,286900000,7959407,"CAJERO, SUCURSAL",PERSONA NATURAL,562900000
CEDULA DE CIUDADANIA,3321983358090980000,196090000,309679,"SUCURSAL, CAJERO",PERSONA NATURAL,197490000
CEDULA DE CIUDADANIA,5379391421136080000,64350000,6149470,"CAJERO, SUCURSAL",PERSONA NATURAL,74055000
CEDULA DE CIUDADANIA,5707913575214940000,203079100,2191298,"SUCURSAL, CAJERO",PERSONA NATURAL,205279100
CEDULA DE CIUDADANIA,8177125649881880000,41100000,8444141,"CAJERO, SUCURSAL",PERSONA NATURAL,132833500
CEDULA DE CIUDADANIA,8355293067854870000,144082700,3536784,"CAJERO, SUCURSAL",PERSONA NATURAL,146182700
CEDULA DE CIUDADANIA,3904229269303150000,89622000,8507260,"CAJERO, SUCURSAL",PERSONA NATURAL,983222000
CEDULA DE CIUDADANIA,3822897885711050000,185100000,4683902,"SUCURSAL, CAJERO",PERSONA NATURAL,332610000
CEDULA DE CIUDADANIA,4239446977149050000,84590000,788204,"SUCURSAL, CAJERO",PERSONA NATURAL,93525000
CEDULA DE CIUDADANIA,6733800226805550000,112800000,1011920,"SUCURSAL, CAJERO",PERSONA NATURAL,115550000
CEDULA DE CIUDADANIA,3036960890515620000,82210000,4900443,"CAJERO, SUCURSAL",PERSONA NATURAL,82370000
CEDULA DE CIUDADANIA,400985173835813000,44230000,6250417,"SUCURSAL, CAJERO",PERSONA NATURAL,114730000
CEDULA DE CIUDADANIA,7136599215055000000,68910000,5476911,"SUCURSAL, CAJERO",PERSONA NATURAL,120095000
TARJETA DE IDENTIDAD,962279742841567000,82166000,9845473,"SUCURSAL, CAJERO",PERSONA NATURAL,212615500
CEDULA DE CIUDADANIA,4478086205377770000,48300000,9071868,"CAJERO, SUCURSAL",PERSONA NATURAL,63990000
CEDULA DE CIUDADANIA,8856851618354430000,79550000,6924269,"CAJERO, SUCURSAL",PERSONA NATURAL,111680000
CEDULA DE CIUDADANIA,4761837906364350000,69100000,9475533,"SUCURSAL, CAJERO",PERSONA NATURAL,129000000
CEDULA DE CIUDADANIA,1613937367656290000,47610000,7754835,"SUCURSAL, CAJERO",PERSONA NATURAL,62960000
CEDULA DE CIUDADANIA,8910238369065440000,103600000,7592358,"SUCURSAL, CAJERO",PERSONA NATURAL,140400000
CEDULA DE CIUDADANIA,1881665268462860000,20500000,9883217,"CAJERO, SUCURSAL",PERSONA NATURAL,55770000
CEDULA DE CIUDADANIA,3228937781798490000,62700000,6996132,"SUCURSAL, CAJERO",PERSONA NATURAL,65400000
CEDULA DE CIUDADANIA,203786937902102000,117000000,6498990,"SUCURSAL, CAJERO",PERSONA NATURAL,213000000
CEDULA DE CIUDADANIA,7059333611356110000,112500000,2234266,"SUCURSAL, CAJERO",PERSONA NATURAL,115700000
CEDULA DE CIUDADANIA,8316179531495040000,272978600,9341434,"CAJERO, SUCURSAL",PERSONA NATURAL,273578600
CEDULA DE CIUDADANIA,5233952636958490000,33065000,2971789,"SUCURSAL, CAJERO",PERSONA NATURAL,75765000
CEDULA DE CIUDADANIA,9124310849084160000,21600000,554947,"CAJERO, SUCURSAL",PERSONA NATURAL,63100000
CEDULA DE CIUDADANIA,9068675459157190000,129630000,4159391,"CAJERO, SUCURSAL",PERSONA NATURAL,193817351
CEDULA DE CIUDADANIA,9080248279619710000,50651294,2205933,"CAJERO, SUCURSAL",PERSONA NATURAL,54687294
CEDULA DE CIUDADANIA,6115743613440630000,170000000,8081531,SUCURSAL,PERSONA NATURAL,170000000
CEDULA DE CIUDADANIA,5638179288517110000,155900000,9840609,"CAJERO, SUCURSAL",PERSONA NATURAL,234300000
CEDULA DE CIUDADANIA,1172197498876810000,48500000,2270292,SUCURSAL,PERSONA NATURAL,92413000
CEDULA DE CIUDADANIA,732190699533352000,41500000,8598069,"SUCURSAL, CAJERO",PERSONA NATURAL,88500000
CEDULA DE CIUDADANIA,5197204395203330000,84430000,1553906,SUCURSAL,PERSONA NATURAL,84430000
CEDULA DE CIUDADANIA,7987079561004780,56556400,5444796,"CAJERO, SUCURSAL",PERSONA NATURAL,60606851
CEDULA DE CIUDADANIA,2365449534578360000,31000000,7114335,"SUCURSAL, CAJERO",PERSONA NATURAL,55200000
NIT,1432115549927580000,830562006,8880662,"SUCURSAL, CAJERO",PERSONA JURIDICA,1160053548
CEDULA DE CIUDADANIA,36301985452284300,49850000,2048724,CAJERO,PERSONA NATURAL,82250000
CEDULA DE CIUDADANIA,3922960032418040000,89456824,1537065,"SUCURSAL, CAJERO",PERSONA NATURAL,90346824
CEDULA DE CIUDADANIA,8790526566073570000,69313200,6363695,"SUCURSAL, CAJERO",PERSONA NATURAL,69863200
CEDULA DE CIUDADANIA,7436322109509780000,57000000,4393550,"CAJERO, SUCURSAL",PERSONA NATURAL,59350000
CEDULA DE CIUDADANIA,3005931216806650000,21910000,8022872,"SUCURSAL, CAJERO",PERSONA NATURAL,65610000
CEDULA DE CIUDADANIA,8094279839874340000,28250000,5751331,CAJERO,PERSONA NATURAL,145970884
CEDULA DE CIUDADANIA,198429707672109000,59920000,983339,"SUCURSAL, CAJERO",PERSONA NATURAL,59920000
CEDULA DE CIUDADANIA,3582977490366530000,110374089,9456184,"CAJERO, SUCURSAL",PERSONA NATURAL,124074089
CEDULA DE CIUDADANIA,1107513692599430000,35017000,5786095,SUCURSAL,PERSONA NATURAL,176622783
CEDULA DE CIUDADANIA,2898054913431780000,178628668,8484828,"SUCURSAL, CAJERO",PERSONA NATURAL,615676998
CEDULA DE CIUDADANIA,2545356136270710000,110500000,892588,"CAJERO, SUCURSAL",PERSONA NATURAL,113800000
CEDULA DE CIUDADANIA,2966863244222530000,48721022,9521259,"SUCURSAL, CAJERO",PERSONA NATURAL,81537979
CEDULA DE CIUDADANIA,68537621750409600,91000000,7142011,SUCURSAL,PERSONA NATURAL,91000000
CEDULA DE CIUDADANIA,1733256086069220000,30700000,2099791,"SUCURSAL, CAJERO",PERSONA NATURAL,80620000
CEDULA DE CIUDADANIA,6593193177536470000,66100000,2883871,"CAJERO, SUCURSAL",PERSONA NATURAL,77600000
CEDULA DE CIUDADANIA,1768126809333700000,84076000,6135721,"SUCURSAL, CAJERO",PERSONA NATURAL,88276000
CEDULA DE CIUDADANIA,7592248683841900000,15939700,2292767,"SUCURSAL, CAJERO",PERSONA NATURAL,161839700
CEDULA DE CIUDADANIA,5844468232413190000,19680000,284994,"CAJERO, SUCURSAL",PERSONA NATURAL,112980000
CEDULA DE CIUDADANIA,2386196272586660000,13000000,1478275,CAJERO,PERSONA NATURAL,56481150
CEDULA DE CIUDADANIA,862932233769111000,506302768,5714977,SUCURSAL,PERSONA NATURAL,738747718
CEDULA DE CIUDADANIA,4941100041205230000,102349520,4790377,"SUCURSAL, CAJERO",PERSONA NATURAL,240479520
DOCUMENTO VENEZOLANO/CARNET DIPLOMÃTICO,8176262181346880000,110880000,9948835,"SUCURSAL, CAJERO",PERSONA NATURAL,155880000
CEDULA DE CIUDADANIA,1080041150899700000,24100000,3788280,CAJERO,PERSONA NATURAL,180800000
CEDULA DE CIUDADANIA,3921853491664480000,69990000,9598445,"SUCURSAL, CAJERO",PERSONA NATURAL,95090000
CEDULA DE CIUDADANIA,5193995578204750000,63156000,630171,"CAJERO, SUCURSAL",PERSONA NATURAL,106502000
CEDULA DE CIUDADANIA,1785903981154320000,64650000,3142078,CAJERO,PERSONA NATURAL,91550000
CEDULA DE CIUDADANIA,8864795573198010000,74300000,5879787,"CAJERO, SUCURSAL",PERSONA NATURAL,86490000
CEDULA DE CIUDADANIA,7271245020295260000,194300000,5107906,"CAJERO, SUCURSAL",PERSONA NATURAL,196100000
CEDULA DE CIUDADANIA,1696357435585840000,683500000,3615258,"SUCURSAL, CAJERO",PERSONA NATURAL,806100000
CEDULA DE CIUDADANIA,297456298129794000,68000000,5324953,SUCURSAL,PERSONA NATURAL,68000000
CEDULA DE CIUDADANIA,9131185921179810000,96030000,3788290,"SUCURSAL, CAJERO",PERSONA NATURAL,96030000
CEDULA DE CIUDADANIA,4161826002137910000,42671063,2088153,"SUCURSAL, CAJERO",PERSONA NATURAL,66973764
CEDULA DE CIUDADANIA,8587047180753320000,73720000,5078541,"SUCURSAL, CAJERO",PERSONA NATURAL,73820000
CEDULA DE CIUDADANIA,5081057527711690000,38350000,1667586,"CAJERO, SUCURSAL",PERSONA NATURAL,183578735
CEDULA DE CIUDADANIA,5274084662595880000,112090000,3594098,CAJERO,PERSONA NATURAL,140350000
CEDULA DE CIUDADANIA,6606400996338240000,39037307,703078,"CAJERO, SUCURSAL",PERSONA NATURAL,59891642
CEDULA DE CIUDADANIA,6127391551091000000,126430000,8593852,"CORRESPONSAL, CAJERO, SUCURSAL",PERSONA NATURAL,139020000
CEDULA DE CIUDADANIA,8166441516494360000,63150000,7126781,"SUCURSAL, CAJERO",PERSONA NATURAL,74450000
CEDULA DE CIUDADANIA,4711600330848440000,86480000,8026181,"SUCURSAL, CAJERO",PERSONA NATURAL,86480000
CEDULA DE CIUDADANIA,6095856178876980000,23200000,2264427,"CAJERO, SUCURSAL",PERSONA NATURAL,56200000
CEDULA DE CIUDADANIA,8200166914006950000,60100000,1344369,"SUCURSAL, CAJERO",PERSONA NATURAL,61154000
CEDULA DE CIUDADANIA,3524461700904590000,57100000,6363695,"SUCURSAL, CAJERO",PERSONA NATURAL,101581989
CEDULA DE CIUDADANIA,571221245434779000,71200000,7846941,"SUCURSAL, CAJERO",PERSONA NATURAL,76800000
CEDULA DE CIUDADANIA,8469415747224030000,5410000,1237541,CAJERO,PERSONA NATURAL,88110000
CEDULA DE CIUDADANIA,4787248147284580000,48280000,5848608,"CAJERO, SUCURSAL",PERSONA NATURAL,59380000
CEDULA DE CIUDADANIA,4517283496938180000,11500000,1357688,CAJERO,PERSONA NATURAL,232120000
CEDULA DE CIUDADANIA,807062429592082000,69100000,9255521,"SUCURSAL, CAJERO",PERSONA NATURAL,70400000
CEDULA DE CIUDADANIA,8894252011497430000,52732000,3717824,"CORRESPONSAL, SUCURSAL, CAJERO",PERSONA NATURAL,58612000
CEDULA DE CIUDADANIA,6090683066036640000,67359500,1217268,"CORRESPONSAL, CAJERO, SUCURSAL",PERSONA NATURAL,71089500
CEDULA DE CIUDADANIA,7246961843070830000,37093667,8962285,"CAJERO, SUCURSAL",PERSONA NATURAL,58043667
CEDULA DE CIUDADANIA,4554931615278860000,14460000,919312,"SUCURSAL, CAJERO",PERSONA NATURAL,66670000
NIT,7232212335077690000,1842960000,635808,"SUCURSAL, CAJERO",PERSONA JURIDICA,2614870000
CEDULA DE CIUDADANIA,975049186907363000,56739228,8457609,"SUCURSAL, CAJERO",PERSONA NATURAL,63539228
CEDULA DE CIUDADANIA,2983452604799700000,127900000,185011,"SUCURSAL, CAJERO",PERSONA NATURAL,135170000
CEDULA DE CIUDADANIA,3977674973896630000,103700000,6779107,"CAJERO, SUCURSAL",PERSONA NATURAL,146100000
CEDULA DE CIUDADANIA,1935132412091250000,44660000,2576964,"SUCURSAL, CAJERO",PERSONA NATURAL,56060000
CEDULA DE CIUDADANIA,1647050160623200000,123130000,7872187,"SUCURSAL, CAJERO",PERSONA NATURAL,127270000
CEDULA DE CIUDADANIA,1785270519862580000,71205000,9732504,"CAJERO, SUCURSAL",PERSONA NATURAL,71205000
CEDULA DE CIUDADANIA,3827245015878950000,119982002,6672212,"CAJERO, SUCURSAL",PERSONA NATURAL,123562002
CEDULA DE CIUDADANIA,8939062094079300000,32600000,1772901,"SUCURSAL, CAJERO",PERSONA NATURAL,54900000
CEDULA DE CIUDADANIA,6081135847726550000,28420000,4118323,"CAJERO, SUCURSAL",PERSONA NATURAL,87320000
CEDULA DE CIUDADANIA,561634220999175000,177354000,7242422,"CAJERO, SUCURSAL",PERSONA NATURAL,277354000
CEDULA DE CIUDADANIA,8455745180545390000,195400000,7071258,"SUCURSAL, CAJERO",PERSONA NATURAL,205900000
CEDULA DE CIUDADANIA,3242114056048980000,101700000,241655,"CAJERO, SUCURSAL",PERSONA NATURAL,111300000
CEDULA DE CIUDADANIA,1710406581407870000,209652000,4905816,"CAJERO, SUCURSAL",PERSONA NATURAL,322372000
